"Treatment","Crop","MD","Trap","Date","total_now","males","prop_males","attractant","phero_lure"
"Ppo","Pis","No",431,2017-08-24,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-06-15,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-06-28,5,5,1,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-06,19,14,0.736842105263158,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-12,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-07-20,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-17,10,9,0.9,"PPO","No pheromone lure"
"Ppo","Pis","No",443,2017-08-24,19,11,0.578947368421053,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-07-20,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-07-27,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-08-17,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","No",452,2017-08-24,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-22,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-06-28,12,12,1,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-06,6,5,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-12,10,6,0.6,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-07-20,8,7,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-01,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-17,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","No",464,2017-08-24,18,15,0.833333333333333,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-15,9,9,1,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-22,23,19,0.826086956521739,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-06-28,16,14,0.875,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-06,29,22,0.758620689655172,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-12,20,15,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-20,11,9,0.818181818181818,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-07-27,11,8,0.727272727272727,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-01,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-17,15,12,0.8,"PPO","No pheromone lure"
"Ppo","Pis","No",475,2017-08-24,17,12,0.705882352941177,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-06-15,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-06-22,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-07-20,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-07-27,4,4,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-01,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-17,7,5,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Pis","No",482,2017-08-24,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-06-29,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-14,7,4,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-07-18,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-02,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-09,6,2,0.333333333333333,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-08-15,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",212,2017-09-05,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-06-29,6,6,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-05,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-14,9,8,0.888888888888889,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-07-18,8,6,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-02,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-09,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-08-15,12,9,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",222,2017-09-05,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-06-29,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-05,9,6,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-14,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-07-18,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-02,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-09,6,4,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-08-15,10,7,0.7,"PPO","No pheromone lure"
"Ppo","Pis","Yes",232,2017-09-05,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-06-23,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-14,5,1,0.2,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-07-18,1,0,0,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-08-09,5,4,0.8,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-08-15,10,4,0.4,"PPO","No pheromone lure"
"Ppo","Pis","Yes",243,2017-09-05,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-06-23,3,3,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-06-29,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-05,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-14,11,7,0.636363636363636,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-07-18,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-08-09,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-08-15,14,10,0.714285714285714,"PPO","No pheromone lure"
"Ppo","Pis","Yes",252,2017-09-05,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-06-15,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-06-29,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-05,6,3,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-14,8,5,0.625,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-08-09,3,2,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-08-15,12,8,0.666666666666667,"PPO","No pheromone lure"
"Ppo","Pis","Yes",264,2017-09-05,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-06-23,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-06-29,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-05,4,3,0.75,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-14,9,7,0.777777777777778,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-07-18,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-08-09,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",272,2017-08-15,4,2,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-06-23,5,3,0.6,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-05,1,1,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-14,23,16,0.695652173913043,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-07-18,2,2,1,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-02,2,1,0.5,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-09,21,12,0.571428571428571,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-08-15,13,8,0.615384615384615,"PPO","No pheromone lure"
"Ppo","Pis","Yes",283,2017-09-05,4,3,0.75,"PPO","No pheromone lure"
"PpoCombo","Alm","No",311,2017-06-15,10,6,0.6,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-06-28,93,72,0.774193548387097,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-07-06,88,69,0.784090909090909,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-07-11,27,20,0.740740740740741,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-07-20,12,8,0.666666666666667,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-08-01,138,109,0.789855072463768,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-08-08,51,40,0.784313725490196,"PPO","Pheromone lure"
"PpoCombo","Alm","No",311,2017-08-23,56,51,0.910714285714286,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-06-15,11,8,0.727272727272727,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-07-06,1,1,1,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-07-20,20,15,0.75,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-07-27,20,14,0.7,"PPO","Pheromone lure"
"PpoCombo","Alm","No",325,2017-08-01,52,33,0.634615384615385,"PPO","Pheromone lure"
