"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"B","Ppo","4",445,"Kettleman","Pis","No",4,4,2018-05-24,2018-05-17,1,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",5,4,2018-05-24,2018-05-17,0.8,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",8,6,2018-05-24,2018-05-17,0.75,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",4,4,2018-05-24,2018-05-17,1,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",9,8,2018-05-24,2018-05-17,0.888888888888889,"PPO","No pheromone lure"
"B","Ppo","1",412,"Kettleman","Pis","No",2,1,2018-05-29,2018-05-24,0.5,"PPO","No pheromone lure"
"B","Ppo","2",424,"Kettleman","Pis","No",3,3,2018-05-29,2018-05-24,1,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",0,0,2018-05-29,2018-05-24,NA,"PPO","No pheromone lure"
"B","Ppo","4",445,"Kettleman","Pis","No",1,1,2018-05-29,2018-05-24,1,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",3,3,2018-05-29,2018-05-24,1,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",2,2,2018-05-29,2018-05-24,1,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",3,2,2018-05-29,2018-05-24,0.666666666666667,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",7,7,2018-05-29,2018-05-24,1,"PPO","No pheromone lure"
"B","Ppo","1",412,"Kettleman","Pis","No",7,5,2018-06-07,2018-05-29,0.714285714285714,"PPO","No pheromone lure"
"B","Ppo","2",424,"Kettleman","Pis","No",5,4,2018-06-07,2018-05-29,0.8,"PPO","No pheromone lure"
"B","Ppo","3",431,"Kettleman","Pis","No",10,6,2018-06-07,2018-05-29,0.6,"PPO","No pheromone lure"
"B","Ppo","4",445,"Kettleman","Pis","No",8,6,2018-06-07,2018-05-29,0.75,"PPO","No pheromone lure"
"B","Ppo","5",452,"Kettleman","Pis","No",11,8,2018-06-07,2018-05-29,0.727272727272727,"PPO","No pheromone lure"
"B","Ppo","6",462,"Kettleman","Pis","No",7,1,2018-06-07,2018-05-29,0.142857142857143,"PPO","No pheromone lure"
"B","Ppo","7",475,"Kettleman","Pis","No",12,7,2018-06-07,2018-05-29,0.583333333333333,"PPO","No pheromone lure"
"B","Ppo","8",481,"Kettleman","Pis","No",20,13,2018-06-07,2018-05-29,0.65,"PPO","No pheromone lure"
"B","Ppo","1",211,"VistaVerde","Pis","Yes",16,13,2018-04-30,2018-04-09,0.8125,"PPO","No pheromone lure"
"B","Ppo","2",222,"VistaVerde","Pis","Yes",9,7,2018-04-30,2018-04-09,0.777777777777778,"PPO","No pheromone lure"
"B","Ppo","3",234,"VistaVerde","Pis","Yes",14,12,2018-04-30,2018-04-09,0.857142857142857,"PPO","No pheromone lure"
"B","Ppo","4",243,"VistaVerde","Pis","Yes",15,12,2018-04-30,2018-04-09,0.8,"PPO","No pheromone lure"
"B","Ppo","5",253,"VistaVerde","Pis","Yes",16,11,2018-04-30,2018-04-09,0.6875,"PPO","No pheromone lure"
